Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	2.7	6.1	8.8	1.8	0.6	1.6	1.3	1.8	16.3	75.40983607	52.72727273	33.33333333	4	2	1
0	3.2	6.2	9.3	2.5	1.2	1.7	3.2	2.6	15.8	70.90909091	40.74074074	33.33333333	1	8	1
0	1.6	4.9	6.5	1.6	0.6	0.5	2.5	2.9	16.3	72.5	43.38235294	36.36363636	4	4	1
0	0.4	1.9	2.3	1.7	0.4	0.3	1.8	1.7	15.8	80.76923077	37.32394366	32.96703297	4	9	1
0	0.8	4.5	5.2	1.5	0.9	0.6	2.2	2.3	16.7	78.26086957	42.74193548	37.31343284	4	9	1
0	2.9	6.2	9.1	1.2	1	0.7	1.5	2.8	16.7	79.48717949	46.71532847	32	4	9	1
0	2.1	4	6.1	0.8	0.5	0.3	1.6	2.1	15.2	82.69230769	56.04395604	47.36842105	1	9	1
0	2.3	4.6	6.9	2.3	0.3	0.5	2.5	1.6	15.7	77.35849057	53.27102804	25	3	1	1
0	1.6	5.2	6.8	1.1	0.8	0.5	1.6	2.7	15.7	76.19047619	44.35483871	37.83783784	2	6	1
0	1.7	4.9	6.6	1.2	0.6	1.2	1.8	3	15.6	76.36363636	54.16666667	40	3	9	1
0	1.6	4.1	5.7	0.9	0.5	0.2	1.5	1.9	15.6	80	44.82758621	35.9375	4	9	1
0	3.1	5.9	9	1.3	1.3	1.3	2.7	3.1	16.6	67.5	50.79365079	37.5	3	9	1
0	1.8	6.4	8.2	2	0.3	0.3	2.1	2.4	15.6	83.05084746	45.63106796	37.14285714	4	9	1
0	2.1	4.5	6.5	2.2	0.6	1	1.4	2.6	15.5	84.21052632	49.09090909	37.5	2	9	1
0	2.2	4	6.1	0.8	0.6	0.6	1.1	2.3	13.8	74.46808511	57.95454545	100	4	1	1
0	2.7	6.4	9.1	0.8	0.6	2.6	2.1	3.1	13.4	65.71428571	50.96153846	31.25	1	7	1
0	3.2	6.1	9.3	1.2	1.1	2.4	2	2.9	15.9	62.85714286	54.80769231	0	2	3	1
0	3	4.9	7.9	1.4	0.5	0.6	1.7	2.1	14.9	67.34693878	60.41666667	0	2	9	1
0	3.3	2.8	6.1	1	0.4	2.1	1.9	3.1	14.9	67.79661017	54.54545455	28.57142857	3	9	1
0	3	7.1	10.1	0.8	0.7	0.6	1.9	2.1	15.3	74.6031746	54.63917526	50	4	2	3
0	3.4	7.3	10.7	1.1	0.6	1.1	2.4	2.4	14	62.26415094	55.78947368	0	4	1	1
0	1.3	3.8	5.1	2.7	1.3	0.3	2.4	1.8	16.8	77.55102041	46.875	34.61538462	4	4	1
0	1.1	4.5	5.6	1.4	0.8	0.6	1.6	2.1	15.7	74.41860465	42.01680672	40	3	9	1
0	1.7	3.4	5.1	4.3	1	0.4	3.7	3.1	15.1	52.45901639	50	29.41176471	4	9	1
116	1.1	4.3	5.4	2	0.8	0.6	3.1	3.2	14.6	65.625	43.24324324	30	1	2	1
0	1.4	5.6	7	2.2	1	0.6	2.7	2.5	15.9	68.75	45.32374101	40.74074074	4	9	1
0	1.2	4	5.3	1.5	0.6	0.4	2.3	1.7	14	75.51020408	40.95238095	34.04255319	3	4	1
0	1.8	3.8	5.6	1.6	0.2	0.4	1.5	3.6	14.4	78.57142857	55.29411765	35.29411765	3	9	1
0	2.4	6.7	9.1	1.1	1.4	0.6	1.6	3	15.8	68.62745098	49.56521739	25.71428571	3	7	1
0	1.3	6.1	7.4	1.3	0.7	0.5	2.5	2.3	16.2	72	44.35483871	34.7826087	3	9	1
0	2	5.4	7.4	1.4	0.9	0.8	2.9	3.8	14.2	62	50.94339623	23.07692308	4	9	1
0	2.3	5.2	7.5	1.5	1	1.8	2	3.2	14.7	73.84615385	48.03921569	25	4	8	1
0	1.2	6.3	7.5	2.3	1.5	0.9	2.2	3.1	13.8	75	46.53465347	39.39393939	3	9	1
0	1.6	5.1	6.7	1	0.6	0.8	0.9	2.8	15.5	77.41935484	49.12280702	38.7755102	2	9	1
0	1.8	4.3	6.1	2	0.9	0.5	1.5	2.7	14.6	75.67567568	46.84684685	37.83783784	3	9	1
0	2.6	6.8	9.4	0.5	0.6	0.8	1.7	2.9	15.5	84.7826087	42.85714286	25.92592593	3	9	1
0	2.9	5.6	8.5	2.2	1.5	0.8	1.8	2.3	13.7	50	50	40	3	9	1
0	2.6	6.5	9.1	2	0.6	0.6	2.3	2.5	15	75.92592593	45.45454545	34.48275862	4	9	1
0	2.4	7	9.4	1.1	0.8	0.3	2.6	2.7	17.7	82.53968254	45.23809524	38.46153846	1	9	1
