Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	3	5.7	8.8	0.8	0.9	0.2	1.6	3.8	7.8	65.51724138	57.69230769	0	3	9	1
0	2.4	4.3	6.7	0.6	0.4	1.3	1.8	3.6	6.3	51.85185185	56.81818182	0	4	9	1
104	1.5	6.7	8.2	2.6	0.8	1.5	1.6	1.7	18.8	78.43137255	54.4	42.30769231	4	4	1
116	3.5	4.9	8.5	1.3	0.8	1.4	2.5	2.1	17.3	50.98039216	65.76576577	0	1	1	3
0	2.4	4	6.5	1.4	0.4	1	2	3.7	13.4	75.51020408	47.05882353	0	4	2	1
0	3.3	5	8.2	2	0.5	0.3	1.5	2.6	14.3	46.66666667	60.3960396	0	4	9	1
0	3.3	8.5	11.8	1.7	1.2	1.8	2	2.7	17.3	76.92307692	46.26865672	0	4	9	1
0	3.7	5.8	9.5	0.5	1.1	1.3	1.6	3.3	13	56.81818182	56.52173913	0	3	9	1
0	3.3	8.5	11.8	1	0.4	2.8	2.1	2.7	11.7	64.44444444	55	0	4	9	1
0	5.9	5.1	11	0.6	0.5	2.6	2.4	2.8	12.1	65.51724138	49.41176471	0	3	7	1
0	3.3	6.8	10.1	0.9	0.7	2.6	2.8	2.9	11.8	70.96774194	46.83544304	0	4	9	1
0	2.8	2.6	5.4	0.2	0.7	2.8	1.6	3.7	9.5	69.44444444	50.72463768	0	2	9	1
0	3.2	4.9	8.1	0.3	0.4	2.5	1.5	3.2	8.5	61.11111111	59.61538462	0	4	9	1
0	1.8	3.2	5	0.4	0.3	2.6	1.3	2.9	7	58.33333333	60.78431373	0	4	9	1
0	1.8	3.4	5.2	1.1	0.9	2.1	1.4	2.7	8.2	65.2173913	46.875	37.5	4	9	1
0	1.8	2.7	4.5	0.7	0.5	2.9	0.9	2.8	5.7	32	52.17391304	0	1	7	1
0	2.4	4.6	7	0.5	1	3.1	1.1	3.2	5.8	51.85185185	45.83333333	0	3	6	1
0	2	3.3	5.4	0.6	0.6	2.1	1.2	3.3	5.4	69.23076923	52.27272727	0	4	9	1
0	2	5	6.9	2.4	0.6	0.6	2	2.5	12.3	76.31578947	61.84210526	0	4	6	1
0	2.4	4.1	6.4	1	0.7	1.2	1.8	1.8	11.1	63.41463415	54.54545455	0	4	8	1
0	1.9	4.9	6.9	1.5	0.6	1.8	1.7	2.6	11.7	75	48.27586207	25	3	4	1
12	3.4	6.1	9.5	0.3	0.6	1.9	2.5	2.7	11.6	62.22222222	55.12820513	16.66666667	4	9	1
0	2.8	4.2	7	1.1	0.8	0.5	1.7	2.5	12	75.92592593	56.52173913	0	4	9	1
0	2.5	4.9	7.4	0.6	0.8	1.5	1.9	2.9	10.8	60.71428571	60	0	4	9	1
0	2.7	5.3	8	0.5	0.5	1.5	1.4	2.6	10.4	60.60606061	53.16455696	0	4	9	1
0	2.3	5.4	7.7	0.6	0.2	0.4	2.1	2.8	12.3	53.48837209	58.13953488	0	4	9	1
0	2.2	4.5	6.8	1.6	1.2	1.9	2.4	3.2	11.2	56.81818182	48.86363636	0	4	9	1
0	2.7	4.7	7.3	0.8	0.1	0.9	1.3	2.3	10.1	53.125	53.84615385	0	3	9	1
