Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	0.7	4.8	5.5	3	1.1	0.4	3.3	2.2	19.2	71.69811321	39.13043478	36.70886076	3	9	1
0	1.6	4.7	6.3	2.8	1.4	0.5	2.7	2.2	19.8	91.83673469	40.38461538	36.36363636	3	9	1
94	0.8	6.7	7.5	7.8	1	0.2	2.7	1.7	19.2	83.87096774	46.15384615	45.33333333	4	4	2
0	0.7	4.2	4.8	3.8	1	0.2	2.8	2.3	18.6	62.85714286	46.51162791	30	4	9	1
0	0.8	3.1	3.9	2.9	2.2	0.4	2.1	2.1	16.9	68.96551724	45.86466165	36.98630137	4	9	1
0	0.6	3.3	3.8	4	1.4	0.4	1.9	0.9	17.9	85.41666667	44.62809917	40.84507042	4	9	1
0	0.5	3	3.5	2.5	1.4	0.1	1.5	2.8	16.3	85.18518519	42.10526316	38.57142857	1	9	1
0	0.6	2.8	3.3	4.9	1.5	0	3.2	2.7	18.3	77.46478873	44.53125	38.23529412	3	9	1
0	0.6	3.2	3.8	2.6	1.4	0.3	2.5	2.5	17.6	69.84126984	46.77419355	38.46153846	4	3	1
0	1	4.4	5.4	1.3	1.1	0.1	1.7	1.8	16.6	80	40.42553191	37.09677419	4	9	1
0	2.2	3.7	5.9	3.2	1.5	0.4	3.2	3.4	17	81.03448276	40.1459854	31.70731707	4	9	1
0	0.6	3.1	3.7	2.2	0.8	0	2.3	2.3	18.7	80.64516129	38.19444444	38.57142857	4	9	1
0	1.4	4.2	5.6	2.7	1.4	0.2	2.5	3.1	18.7	70	48.5915493	35.13513514	3	9	1
0	0.7	2.7	3.4	2.5	1.1	0	2.5	2	18.6	78.57142857	41.55844156	35.71428571	4	9	1
0	0.8	4.4	5.3	1.6	0.9	0.3	1.8	2.2	18.6	86.20689655	45.45454545	43.05555556	1	9	1
0	1.2	2.4	3.6	4	1.7	0.1	2.8	3	18.1	72.13114754	37.03703704	29.31034483	4	9	1
0	0.4	2.1	2.5	3.2	1.8	0	2.7	2.6	18.1	80.32786885	42.85714286	34.61538462	4	9	1
0	1.6	4.8	6.4	2.4	0.8	0.6	2.5	2.3	18	84.21052632	47.72727273	38.98305085	4	9	1
0	0.2	3.2	3.4	3.5	1.4	0.2	2.5	2.8	22.2	80.76923077	45.94594595	36.66666667	4	3	1
0	0.7	3.5	4.2	3.1	1.6	0.1	2.1	2.7	18	79.72972973	42.51968504	38.88888889	2	9	1
0	0.8	3.8	4.6	3.7	1.2	0	3.5	2.1	17.5	83.69565217	47.95918367	33.33333333	4	9	1
0	1.6	5	6.6	1.6	0.8	0.2	2.2	2.8	18	77.08333333	44.36090226	39.68253968	4	9	1
0	0.5	4	4.5	4.4	1.4	0.1	1.6	2.7	16.9	82.45614035	41.32231405	37.93103448	3	3	1
0	0.5	2.7	3.2	1.6	1	0.3	1.3	1.8	16.3	83.63636364	51	41.02564103	4	1	1
0	0.4	2.3	2.6	2.1	1.5	0.1	2.3	2.3	20.3	83.33333333	44.6969697	38.80597015	3	9	1
0	2.3	5.9	8.2	7.4	2	0.5	3.4	2	15.3	63.93442623	46.66666667	20	4	9	1
0	1	5.4	6.4	2.8	1.2	0.2	1.8	2.4	18.9	82.69230769	43.38235294	42.85714286	4	9	1
0	0.6	2.7	3.4	2.8	0.6	0.1	2.2	1.2	20.2	87.75510204	42.85714286	43.03797468	2	9	1
0	1.6	3.6	5.2	1.1	0.8	0.7	1.3	2.1	16.6	86.95652174	43.29896907	38.18181818	2	9	1
0	0.5	2.3	2.7	4.4	0.6	0.1	2.6	1.1	18.2	87.5	41.00719424	34.21052632	4	9	1
0	0.6	2.4	3	2.8	0.8	0.1	2.8	1.9	17.6	69.44444444	45.77464789	37.93103448	3	9	1
0	0.3	3.2	3.5	2.5	1.2	0.3	2.5	2.4	17.1	76.62337662	42.98245614	26.92307692	4	9	1
0	1.2	4.7	5.9	0.6	1.1	0.3	1.6	2.6	16.6	75.75757576	47.89915966	41.93548387	3	4	1
0	1.1	3.7	4.8	2.1	0.5	0.3	1.8	1.4	15.6	71.73913043	39.53488372	30.88235294	4	3	1
0	1	4.4	5.4	2.4	1.1	0.4	3.6	2.3	18.6	76.11940299	44.05594406	34.48275862	3	9	1
0	0.3	3.4	3.7	1.8	1.5	0.3	1.9	2.5	18.5	86.11111111	42.46575342	37.80487805	1	9	1
32	0.9	2.6	3.5	4.7	1.2	0.3	2.2	1.9	15.8	80	45.08196721	31.91489362	3	1	1
