Player,Class,Season,Pos,School,Conf,G,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
Ben Hansbrough\ben-hansbrough-1,SR,2010-11,G,Notre Dame,Big East,34,35.4,0.7,3.1,3.9,4.3,1.2,0.1,2.4,2.6,18.4,81.48148148,47.89915966,44.06779661
Kyle Singler\kyle-singler-1,SR,2010-11,F,Duke,ACC,37,34.8,2.4,4.5,6.8,1.6,0.9,0.3,1.9,2.6,16.9,80.95238095,42.75362319,32.69230769
Jon Leuer\jon-leuer-1,SR,2010-11,F,Wisconsin,Big Ten,34,33.5,1.7,5.6,7.2,1.6,0.5,0.9,1.6,2.2,18.3,84.61538462,47.18309859,37.20930233
Anatoly Bose\anatoly-bose-1,SR,2010-11,G-F,Nicholls State,Southland,28,34.1,1.2,4.6,5.9,2.2,1.4,0.2,3.4,2.4,22.1,79.54545455,39.7515528,32.43243243
Reggie Jackson\reggie-jackson-1,JR,2010-11,G,Boston College,ACC,34,34.1,1,3.3,4.3,4.5,1.1,0.5,2.4,1.7,18.2,80,50,42
Kevin Anderson\kevin-anderson-1,SR,2010-11,G,Richmond,A-10,37,36.2,0.4,2.4,2.8,3.3,1.4,0.1,1.9,1.5,16.6,74.41860465,42.53731343,40.42553191
Vlad Moldoveanu\vlad-moldoveanu-1,SR,2010-11,F,American,Patriot,30,33.7,1.6,4.8,6.4,2,0.4,0.5,1.9,2.3,20.4,82.8125,44,37.03703704
E'Twaun Moore\etwaun-moore-1,SR,2010-11,G,Purdue,Big Ten,34,33.9,1.5,3.6,5.1,3.2,1.2,0.5,1.8,2.1,18,70.73170732,44.82758621,41.17647059
Jamie Skeen\jamie-skeen-1,SR,2010-11,F,Virginia Commonwealth,CAA,39,31.9,2.4,4.9,7.3,1.6,0.6,1,1.7,2,15.7,71.875,52.04081633,40.90909091
Cory Higgins\cory-higgins-1,SR,2010-11,G,Colorado,Big 12,38,32.2,0.8,2.4,3.3,2.5,1,0.4,2.1,2.2,16.1,86.79245283,43.80165289,32.14285714
Shelvin Mack\shelvin-mack-1,JR,2010-11,G,Butler,Horizon,38,32.1,0.7,3.8,4.5,3.4,0.8,0.1,2.4,1.7,16,78.04878049,40.76923077,35.38461538
Matt Howard\matt-howard-1,SR,2010-11,F,Butler,Horizon,37,31,2.6,5.1,7.7,1.4,1.1,0.6,1.7,2.9,16.4,78.68852459,47.22222222,38.88888889
Kenneth Faried\kenneth-faried-1,SR,2010-11,F-C,Morehead State,OVC,35,34.7,5.7,8.8,14.5,1.1,1.9,2.3,2.6,3.1,17.3,57.97101449,62.61682243,0
Gilberto Clavell\gilberto-clavell-1,SR,2010-11,F,Sam Houston State,Southland,31,30.1,3.2,4,7.3,0.9,0.6,0.1,3.1,3.5,19.5,70,56.09756098,50
Dwight Hardy\dwight-hardy-1,SR,2010-11,G,St. John's (NY),Big East,33,34.2,0.8,2.2,2.9,1.9,1.3,0.1,2.2,1.8,18.3,83.63636364,45.03816794,35.8490566
Andrew Warren\andrew-warren-1,SR,2010-11,G,Bradley,MVC,32,36.7,1.2,4.3,5.5,1.8,1.7,0.3,1.8,2.8,18.8,85.71428571,41.21621622,39.3442623
Brandon Bowdry\brandon-bowdry-1,SR,2010-11,F,Eastern Michigan,MAC,30,32.2,2.4,7.1,9.5,1.8,1.1,0.3,3.2,2.5,19.9,67.94871795,44.44444444,33.33333333
Solomon Bozeman\solomon-bozeman-1,SR,2010-11,G,Arkansas-Little Rock,Sun Belt,36,30.6,0.4,1.7,2.1,2.8,0.7,0.1,2.6,2.3,16.6,80.76923077,43.87755102,46.15384615
Delroy James\delroy-james-1,SR,2010-11,F,Rhode Island,A-10,34,34.1,2.7,5.1,7.9,2.7,1.6,1.1,3.4,2.9,17.5,72.72727273,44.05594406,24.32432432
Vaughn Duggins\vaughn-duggins-1,SR,2010-11,G,Wright State,Horizon,33,35.2,1,2.8,3.8,2.2,1.5,0.1,1.6,1.7,18,82.14285714,44.52554745,30.55555556
Tristan Thompson\tristan-thompson-1,SR,2010-11,G,North Texas,Sun Belt,33,32,0.5,2.7,3.2,1.8,0.7,0.1,2.2,1.9,18,83.11688312,46.15384615,41.66666667
Joevan Catron\joevan-catron-1,SR,2010-11,F,Oregon,Pac-10,37,27.6,2.4,4.3,6.7,1.5,1.1,0.3,2.4,2.6,15.9,71.64179104,47.32142857,26.31578947
Isaiah Thomas\isaiah-thomas-1,JR,2010-11,G,Washington,Pac-10,35,31.9,0.7,2.8,3.5,6.1,1.3,0.1,3,2.1,16.8,71.66666667,44.62809917,34.69387755
LeRoy Nobles\leroy-nobles-1,SR,2010-11,G-F,IUPUI,Summit,32,35.8,1.3,2.7,4,1.3,0.8,0.1,2.1,2,18.3,81.96721311,47.05882353,36.36363636
Jimmy Butler\jimmy-butler-1,SR,2010-11,G-F,Marquette,Big East,37,34.6,2.4,3.6,6.1,2.3,1.4,0.4,1.5,1.3,15.7,78.46153846,49.51456311,31.25
Gary Flowers\gary-flowers-1,SR,2010-11,F,Southern Mississippi,CUSA,31,31.1,2.5,5.2,7.7,1.1,1.1,1.4,2.5,2.7,18.8,71.42857143,47.97297297,40
Nikola Vucevic\nikola-vucevic-1,JR,2010-11,F,Southern California,Pac-10,34,34.9,2.9,7.4,10.3,1.6,0.5,1.4,1.7,2.8,17.1,75,50.4,37.5
Denzel Bowles\denzel-bowles-1,JR,2010-11,F,James Madison,CAA,33,32.2,2.5,6.3,8.8,2.2,0.6,1.6,3.3,2.6,17.6,70.90909091,57.62711864,0
Ryan Rossiter\ryan-rossiter-1,SR,2010-11,F,Siena,MAAC,31,37.4,3.9,9.3,13.2,1.5,0.9,1.4,2.3,2.5,18.7,79.41176471,46.47887324,16.66666667
Xavier Silas\xavier-silas-1,SR,2010-11,G,Northern Illinois,MAC,26,32,0.8,3.8,4.6,1.8,1.2,0.3,4,2.7,22.3,85.71428571,45.63758389,41.66666667
Kalin Lucas\kalin-lucas-1,SR,2010-11,G,Michigan State,Big Ten,34,33.4,0.5,1.7,2.1,3.4,1,0.1,2.6,2.1,17,81.63265306,42.85714286,40
Devin Gibson\devin-gibson-1,SR,2010-11,G,Texas-San Antonio,Southland,34,35,1.4,3.9,5.2,5.4,2.7,0.1,3.3,2.5,17,78.16091954,42.34234234,30.76923077
