Player,Class,Season,Pos,School,Conf,G,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
Cory Johnson\cory-johnson-1,SR,2010-11,F,Valparaiso,Horizon,34,26.3,1.7,2.7,4.4,1.5,0.5,0.5,2.4,3.2,14.1,72.5,49.09090909,24
Kwadzo Ahelegbe\kwadzo-ahelegbe-1,SR,2010-11,G,Northern Iowa,MVC,34,31.4,0.5,2.7,3.2,3,0.6,0.1,2.1,2.1,14.1,78.43137255,41.50943396,31.57894737
Marshall Moses\marshall-moses-1,SR,2010-11,F,Oklahoma State,Big 12,34,29.6,2.8,4.5,7.3,1,0.6,0.4,2.2,3.1,14.1,71.73913043,56.25,100
Brian Qvale\brian-qvale-1,SR,2010-11,C,Montana,Big Sky,32,30.9,3.1,5.7,8.8,0.7,0.7,3,2,3,14.9,64.58333333,62.76595745,0
Diego Kapelan\diego-kapelan-1,SR,2010-11,G,McNeese State,Southland,32,29.1,0.7,1.8,2.4,1.1,0.7,0.1,1.8,1.6,14.9,87.87878788,39.49579832,36
Travis Leslie\travis-leslie-1,JR,2010-11,G,Georgia,SEC,33,32.2,3.2,4,7.2,2.9,1.2,0.6,2.2,1.9,14.4,80.48780488,49.5412844,30.76923077
Steven Gray\steven-gray-1,SR,2010-11,G,Gonzaga,WCC,34,31.6,0.6,3.3,3.9,4,1.7,0.1,2.1,2.4,13.9,75.75757576,41.22807018,37.5
Trevon Harmon\trevon-harmon-1,JR,2010-11,G,Cleveland State,Horizon,36,33.2,1.3,2.8,4,1.3,1.5,0,1.3,2,13.2,78.125,44.11764706,34
Reeves Nelson\reeves-nelson-1,SO,2010-11,F,UCLA,Pac-10,34,31.4,2.4,6.7,9.1,1.6,0.4,0.4,2.4,2.3,13.9,61.81818182,56.52173913,16.66666667
Cameron Rundles\cameron-rundles-1,SR,2010-11,G,Wofford,Southern,34,33.1,0.4,3.4,3.8,2.5,1.1,0.1,1.5,2.2,13.9,66.66666667,43.80952381,40
Chris Wright\chris-wright-1,SR,2010-11,F,Dayton,A-10,36,28.8,2.3,6.1,8.4,1.8,0.8,1.4,2.8,2.8,13.2,60.78431373,46.2962963,16.66666667
Jeremy Hence\jeremy-hence-1,SR,2010-11,F,Army,Patriot,30,32.3,2.1,3.2,5.3,1.9,0.8,0.4,2.4,1.9,15.7,68.29268293,51.32743363,34.21052632
Tristan Thompson\tristan-thompson-2,FR,2010-11,F,Texas,Big 12,36,30.7,3.8,4,7.8,1.3,0.9,2.4,1.8,2.8,13.1,47.94520548,54.54545455,0
Noruwa Agho\noruwa-agho-1,JR,2010-11,G,Columbia,Ivy,28,34.5,1.1,3.9,4.9,4.3,1,0.6,3.2,2.3,16.8,66.03773585,42.75362319,39.47368421
Clint Sargent\clint-sargent-1,SR,2010-11,G,South Dakota State,Summit,31,32.2,0.5,2.7,3.2,1.3,0.5,0.1,1,1.6,15.2,79.31034483,41.12903226,39.13043478
Jon Diebler\jon-diebler-1,SR,2010-11,G,Ohio State,Big Ten,37,35.7,0.4,2.3,2.6,2.4,1,0.1,0.9,1,12.6,80.95238095,50.64935065,50.81967213
Steffphon Pettigrew\steffphon-pettigrew-1,SR,2010-11,F,Western Kentucky,Sun Belt,32,33.9,2.6,3.5,6.1,1.3,0.8,0.6,2,2.8,14.6,57.5,49.13793103,28.125
Erik Rush\erik-rush-1,SR,2010-11,G,Montana State,Big Sky,31,31.8,1.1,3,4.1,2.8,1.4,0.3,2.3,2.4,15.1,71.18644068,42.47787611,29.26829268
Dairese Gary\dairese-gary-1,SR,2010-11,G,New Mexico,MWC,33,33.8,0.6,2.5,3.2,5.5,1.3,0,2.8,2.3,14.1,77.77777778,48.23529412,34.375
Demond Watt\demond-watt-1,SR,2010-11,F,Texas A&M-Corpus Christi,Southland,31,33.4,3.7,5.2,8.9,1.4,1.1,1.3,2.8,1.9,15,66.17647059,58.24175824,0
Chris De La Rosa\chris-de-la-rosa-1,JR,2010-11,G,Maryland-Baltimore County,AEC,30,35.8,0.7,3.3,3.9,6,1,0,2.8,2,15.5,72.09302326,39.71631206,32.5
Demontez Stitt\demontez-stitt-1,SR,2010-11,G,Clemson,ACC,32,34.2,1.2,3.2,4.3,3.3,1.4,0.4,2.1,2.5,14.5,73.46938776,43.63636364,35
Jackson Emery\jackson-emery-1,SR,2010-11,G,Brigham Young,MWC,37,32.5,0.4,3.1,3.5,2.6,2.7,0.2,0.9,2.6,12.5,81.81818182,42.70833333,36.23188406
Tyrone Conley\tyrone-conley-1,SR,2010-11,G,New Hampshire,AEC,30,35,1.2,2.2,3.4,2.1,1.3,0.8,2.1,2.7,15.4,68.75,38.4057971,32.91139241
Jalin Thomas\jalin-thomas-1,SR,2010-11,G-F,Central Michigan,MAC,29,33.6,2,3.3,5.3,0.5,0.6,0,1.8,2.2,15.9,81.13207547,38.0952381,34.48275862
Evan Gordon\evan-gordon-1,SO,2010-11,G,Liberty,Big South,32,32.9,0.8,2.2,2.9,2.2,1.6,0.1,2.7,2.1,14.4,75.75757576,38.4,33.84615385
Bobby Howard\bobby-howard-1,SR,2010-11,F,Montana State,Big Sky,31,32,2.2,5,7.2,1.7,0.9,0.3,1.9,2.7,14.8,62,39.23076923,30
Jonathan Mitchell\jonathan-mitchell-1,SR,2010-11,F,Rutgers,Big East,32,30.3,1.8,3.8,5.6,0.9,0.8,0.6,1.5,1.6,14.4,78.125,44.73684211,39.02439024
Rick Jackson\rick-jackson-1,SR,2010-11,F,Syracuse,Big East,35,35.6,3.4,6.9,10.3,2.2,1.3,2.5,2.1,2,13.1,53.84615385,58.5106383,0
Donavan Monroe\donavan-monroe-1,SR,2010-11,G,College of Charleston,Southern,37,33.1,0.7,2,2.7,2.6,0.9,0.1,2.1,2,12.4,72.22222222,44.79166667,32.35294118
Sam Willard\sam-willard-1,SR,2010-11,F,Pacific,Big West,31,33.2,3,7.5,10.5,1.6,0.6,0.7,2.2,2.7,14.8,79.06976744,47.74774775,33.33333333
Shawn Lewis\shawn-lewis-1,SR,2010-11,G,Cal Poly,Big West,30,31.3,1.1,4.4,5.5,2.2,1.5,0.3,3.1,2.6,15.2,72.4137931,36.64122137,27.45098039
Paul Carter\paul-carter-1,SR,2010-11,F,Illinois-Chicago,Horizon,31,32.6,2.5,5.5,8,1.9,0.6,0.7,3.1,2.8,14.7,77.08333333,40.6504065,29.03225806
Chris Long\chris-long-1,SR,2010-11,G,Elon,Southern,31,33.7,0.6,1.9,2.5,6.1,1.7,0.1,2.2,2.4,14.7,80,42.70833333,32.69230769
Omar Wattad\omar-wattad-1,JR,2010-11,F,Chattanooga,Southern,32,29.3,1.2,2.4,3.7,2,0.8,0.1,2,2.5,14.3,76.47058824,38.13559322,36.84210526
Justin Graham\justin-graham-1,SR,2010-11,G,San Jose State,WAC,32,36.3,0.8,3.7,4.5,4.4,2.3,0.4,2.3,2.4,14.2,67.44186047,42.14876033,42.85714286
Jeff Allen\jeff-allen-2,SR,2010-11,F,Virginia Tech,ACC,34,32.3,2.7,7,9.7,1.8,1.3,0.7,2.9,3.4,13.4,65.85365854,50,10
DeVaughn Washington\devaughn-washington-1,SR,2010-11,F,Ohio,MAC,34,29.5,1.7,3.9,5.6,0.9,1.1,0.4,1.8,3,13.4,63.63636364,52.12765957,0
Jerrell Williams\jerrell-williams-1,SR,2010-11,F,La Salle,A-10,33,26.6,3.5,3.9,7.4,1.4,1.1,0.2,3.4,3.3,13.8,59.25925926,48.14814815,33.33333333
Rodriguez Sherman\rodriguez-sherman-1,SR,2010-11,G,Kent State,MAC,36,30.5,1.4,2.4,3.8,2.9,1.6,0.1,2.4,2.3,12.6,73.52941176,45.83333333,38.23529412
Novar Gadson\novar-gadson-1,JR,2010-11,G-F,Rider,MAAC,33,28,1.3,4.5,5.8,1.7,0.8,0.9,2.4,2.9,13.7,66.66666667,46.66666667,37.5
Jared Stohl\jared-stohl-1,SR,2010-11,G,Portland,WCC,32,32.6,0.7,1.7,2.4,1.8,0.8,0,1.1,0.9,14.1,89.65517241,43,41.79104478
Evan Fjeld\evan-fjeld-1,SR,2010-11,F,Vermont,AEC,31,29.9,2,4.3,6.3,1.2,0.5,1.9,2.2,2.3,14.5,64.1025641,54.12844037,33.33333333
Rob Hampton\rob-hampton-1,SR,2010-11,G-F,Norfolk State,MEAC,32,30.9,1.3,2.4,3.7,1.9,1.1,0.2,3.3,3,14,66.66666667,44.03669725,30.3030303
Devon Peltier\devon-peltier-1,SR,2010-11,G,Cal State Fullerton,Big West,31,31.8,0.5,1.2,1.7,1,0.6,0,1.8,2.4,14.5,90.625,45.09803922,40.35087719
James Washington\james-washington-1,SR,2010-11,G,Middle Tennessee,Sun Belt,32,35,0.3,1.9,2.3,2.8,1.6,0,2.3,2.3,14,87.5,40.42553191,40.35087719
Jordan Sugars\jordan-sugars-1,JR,2010-11,G,Navy,Patriot,28,34.1,1.4,4.6,6,1.3,1.4,0.1,2.4,1.9,16,74.28571429,40.44117647,32.87671233
Anthony Nelson\anthony-nelson-1,SR,2010-11,G,Niagara,MAAC,29,37.3,1.7,3.3,5,5.1,3.4,0.1,3.6,2,15.4,69.73684211,36.66666667,26
David Lighty\david-lighty-1,SR,2010-11,G-F,Ohio State,Big Ten,37,32.1,1.3,2.7,4,3.3,1.5,0.5,1.6,1.9,12.1,63.15789474,46.59090909,43.75
Tyrone Hanson\tyrone-hanson-2,SR,2010-11,G-F,Jackson State,SWAC,32,30.1,0.8,3.2,3.9,2.2,0.8,0.5,2.3,1.9,13.9,70.37037037,42.34234234,40
Geoff McCammon\geoff-mccammon-1,SR,2010-11,G,Loyola (IL),Horizon,31,31.1,0.4,2.6,3,1,0.9,0.2,1.9,1.8,14.4,84,40.86956522,40.90909091
Byron Mulkey\byron-mulkey-1,SR,2010-11,G,Buffalo,MAC,34,35.1,0.2,3.6,3.9,4.5,2.5,0,2.4,2.2,13.1,76.31578947,41.74757282,39.02439024
Marquiz Baker\marquiz-baker-1,JR,2010-11,G,Alcorn State,SWAC,28,28.3,1,2.3,3.4,1.1,1.6,0,2.3,2,15.9,78.33333333,33.82352941,34.48275862
Levi Knutson\levi-knutson-1,SR,2010-11,G,Colorado,Big 12,38,26.8,0.6,2.3,2.9,1,0.6,0.1,0.8,1.8,11.7,85.71428571,51.2195122,46.66666667
Michael Tveidt\michael-tveidt-1,SR,2010-11,F,North Dakota State,Summit,29,32.2,0.6,3.1,3.7,2.2,0.7,0.4,1.8,2.6,15.3,82.35294118,49.12280702,45.16129032
Kareem Maddox\kareem-maddox-1,SR,2010-11,F,Princeton,Ivy,32,31,1.9,5.1,7,2.5,0.8,1.8,2,2.1,13.8,78,56.32183908,0
Cade Davis\cade-davis-1,SR,2010-11,G,Oklahoma,Big 12,31,34.9,0.9,4.1,5,1.8,1,0.5,2,2.7,14.2,72.97297297,44.33962264,36.20689655
Jenirro Bush\jenirro-bush-1,JR,2010-11,G,Jackson State,SWAC,31,27.3,1,2.4,3.5,1,1.4,0.1,2,2,14.2,65,42.60869565,34
Will Hudson\will-hudson-1,SR,2010-11,F,Oakland,Summit,35,31.3,3.8,3.4,7.2,0.8,0.7,0.9,1.3,2.5,12.6,70.83333333,64.78873239,0
Joe Zeglinski\joe-zeglinski-1,SR,2010-11,G,Hartford,AEC,31,36,1.4,2.7,4,1.9,1.2,0.2,1.9,2.5,14.2,62.5,33.33333333,32.58426966
Anthony Banks\anthony-banks-1,SO,2010-11,F,Florida Gulf Coast,A-Sun,30,30.9,3.5,2.8,6.4,0.9,0.8,0.4,2.4,2.6,14.6,71.15384615,49.10714286,0
Kenny Moore\kenny-moore-1,JR,2010-11,F,Tennessee State,OVC,30,29.1,2.4,4.5,6.9,1.9,1.4,0.4,2.9,3.1,14.6,78.18181818,46.46464646,41.37931034
Juan Pattillo\juan-pattillo-1,SR,2010-11,F,Western Kentucky,Sun Belt,32,29.8,3,6.1,9.1,1.4,1.5,1.8,3,2.9,13.7,66.07142857,50,0
Tirrell Baines\tirrell-baines-1,SR,2010-11,F,Marshall,CUSA,34,28.6,2.9,3.7,6.6,0.9,0.4,0.3,1.7,2.4,12.8,77.14285714,53.125,0
Broderick Gilchrest\broderick-gilchrest-1,SR,2010-11,G,Idaho State,Big Sky,29,35.1,0.4,2,2.4,2.2,1.1,0.1,2.8,2.3,15,69.44444444,39.84962406,32.72727273
Justin Patton\justin-patton-2,JR,2010-11,G-F,Grambling,SWAC,33,28.2,1.9,5.2,7.1,1.4,1.3,0.3,2.8,2.7,13.2,58.62068966,40.86956522,27.77777778
Jeff Brooks\jeff-brooks-1,SR,2010-11,F,Penn State,Big Ten,33,32.9,2.3,4.1,6.3,1.7,0.8,1.4,1.6,2.3,13.1,75,55.20833333,40
Malcolm Lee\malcolm-lee-1,JR,2010-11,G,UCLA,Pac-10,33,33.1,0.7,2.4,3.1,2,0.7,0.2,1.7,2.4,13.1,77.27272727,43.87755102,30
Nick Murphy\nick-murphy-1,SR,2010-11,G,Jacksonville State,OVC,28,35.1,1.9,4,6,2.5,1.9,0.3,2.6,2.8,15.5,75.47169811,46.15384615,33.33333333
Corey Stokes\corey-stokes-2,SR,2010-11,G,Villanova,Big East,29,33,0.4,2.9,3.3,1.3,0.9,0.2,1.4,2.3,14.9,90.625,43.68932039,43.66197183
Nemanja Mitrovic\nemanja-mitrovic-1,JR,2010-11,G,Portland,WCC,32,30.5,0.5,2.8,3.3,1.6,0.8,0.1,1.8,2.2,13.5,83.33333333,45.45454545,46.03174603
Robert Arnold\robert-arnold-1,SR,2010-11,F,Boise State,WAC,35,26.8,1.6,2.8,4.4,0.9,1.2,0.7,1.9,2.4,12.3,70.73170732,40.625,34.04255319
Mike Scott\mike-scott-3,SR,2010-11,G,Fairleigh Dickinson,NEC,29,37.2,1,4.2,5.2,4.4,1.6,0.2,3.6,3.3,14.9,82.35294118,37.71929825,39.62264151
Trent Hutchin\trent-hutchin-1,SR,2010-11,G,Southeastern Louisiana,Southland,29,29.3,0.3,1.1,1.4,0.9,0.4,0.1,1.7,1.1,14.8,91.66666667,43.75,40.57971014
Vernon Macklin\vernon-macklin-1,SR,2010-11,F-C,Florida,SEC,37,24.5,2.2,3.2,5.4,0.8,0.4,0.7,1.7,2.5,11.6,42.85714286,59.77011494,0
Chace Stanback\chace-stanback-1,JR,2010-11,G-F,Nevada-Las Vegas,MWC,33,29.3,1.8,4.1,5.9,1.5,1.1,0.6,1.4,2.3,13,77.27272727,47.57281553,35.8974359
Tone Boyle\tone-boyle-1,SR,2010-11,G,Milwaukee,Horizon,33,34.2,0.5,2.8,3.3,1.1,0.9,0.1,1.2,1.5,12.9,75,37.38317757,35.21126761
Sterling Carter\sterling-carter-1,FR,2010-11,G,Seattle,Ind,31,26.8,0.6,2.6,3.3,1.9,0.9,0.5,3,2.9,13.8,65.51724138,36,36
DeAndre Brown\deandre-brown-1,SR,2010-11,G,Louisiana Tech,WAC,27,34.1,0.6,2.5,3,2.5,1.1,0,3.2,1.4,15.8,72.22222222,39.04109589,34.54545455
Michael Harper\michael-harper-1,JR,2010-11,G,Coppin State,MEAC,28,30.5,0.6,3,3.6,1.3,1.6,0.3,2,1.9,15.2,87.5,46.95652174,44.23076923
Marcus Relphorde\marcus-relphorde-1,SR,2010-11,F,Colorado,Big 12,38,28.1,1.2,3.1,4.3,2.2,1,0.1,2.3,2.5,11.2,76.66666667,43.33333333,40.74074074
Lamar Trice\lamar-trice-1,JR,2010-11,G,Mount St. Mary's,NEC,32,28.7,0.6,2.5,3.1,2.9,1,0,3.5,3,13.3,74.07407407,41.59292035,35.18518519
Troy Barnies\troy-barnies-1,SR,2010-11,F,Maine,AEC,30,33.3,2,5.6,7.6,1.6,0.9,0.4,2,1.6,14.1,73.80952381,52.42718447,33.33333333
Scott Christopherson\scott-christopherson-1,JR,2010-11,G,Iowa State,Big 12,31,35.8,0.3,2.9,3.1,2.5,0.7,0,1.5,0.9,13.7,78.57142857,42.60869565,44.44444444
Mike Davis\mike-davis-5,SR,2010-11,F,Illinois,Big Ten,34,33,1.6,5.5,7.1,1.7,0.9,0.8,1.4,2.4,12.5,70,53.06122449,0
Josh White\josh-white-1,SR,2010-11,G,North Texas,Sun Belt,32,33.7,0.4,1.9,2.3,2.8,0.6,0,2,2,13.3,85.71428571,43.29896907,36.11111111
Blake Hoffarber\blake-hoffarber-1,SR,2010-11,G,Minnesota,Big Ten,31,35.1,0.7,2.8,3.5,4.1,1,0.1,2.1,1.2,13.6,82.14285714,41.50943396,38.46153846
Rashaun McLemore\rashaun-mclemore-1,SR,2010-11,G-F,Cal State Northridge,Big West,29,24.6,1.1,2.6,3.7,1.1,0.6,0.2,2.4,2.4,14.6,72.22222222,44.76190476,31.70731707
Trant Simpson\trant-simpson-2,SR,2010-11,G,Prairie View,SWAC,32,31.9,0.7,2.8,3.5,2.8,1.3,0,2.6,1.7,13.2,74.28571429,33.58778626,33.33333333
Drew Spradlin\drew-spradlin-1,JR,2010-11,G,Elon,Southern,31,26.1,1,3,4.1,1.3,0.5,0.2,1.9,2.4,13.6,65.71428571,41.59292035,35.29411765
Vernon Taylor\vernon-taylor-1,SR,2010-11,G,Troy,Sun Belt,27,31.7,1.5,3.5,5,2.1,1.1,0.1,3,2.3,15.7,77.96610169,41.66666667,28.20512821
Jerai Grant\jerai-grant-1,SR,2010-11,F-C,Clemson,ACC,34,27.1,2.6,4.1,6.7,0.8,1,2.3,1.5,2.2,12.4,71.11111111,56.79012346,0
John Roberson\john-roberson-1,SR,2010-11,G,Texas Tech,Big 12,30,35.3,0.2,1.8,2,4.4,1.1,0.2,3.3,2.9,14.1,83.33333333,38.18181818,40.625
Jake Thomas\jake-thomas-1,SO,2010-11,G,South Dakota,GWC,31,32.9,0.4,4.5,4.9,2.4,0.9,0.3,1.6,2.2,13.6,82.05128205,36.19047619,35
Malcolm Thomas\malcolm-thomas-2,SR,2010-11,F,San Diego State,MWC,37,30.4,2.9,5.2,8.1,2.3,0.5,2,2.1,2.3,11.4,63.63636364,53.75,33.33333333
Tyler Honeycutt\tyler-honeycutt-1,SO,2010-11,F,UCLA,Pac-10,33,35,1.5,5.7,7.2,2.8,0.9,2,3,1.6,12.8,75,40.74074074,36.95652174
Lawrence Johnson-Danner\lawrence-johnson-danner-1,FR,2010-11,G,Texas Southern,SWAC,32,33.3,0.4,2.1,2.5,1.1,1.2,0.1,2.2,1.7,13.2,84.61538462,41.74757282,39.65517241
Faisal Aden\faisal-aden-1,JR,2010-11,G,Washington State,Pac-10,33,25.5,0.8,2.5,3.2,1.3,1.4,0.2,2,1.4,12.7,77.77777778,42.60869565,33.33333333
Joe Harden\joe-harden-1,SR,2010-11,G,UC-Davis,Big West,28,29.6,1.2,4.4,5.6,1.6,1.4,0.3,2.3,3,15,80.39215686,46.49122807,33.33333333
Mustapha Farrakhan\mustapha-farrakhan-1,SR,2010-11,G,Virginia,ACC,31,30.8,0.3,2.5,2.8,1.8,0.7,0.3,2.2,1.6,13.5,79.06976744,42.57425743,36.36363636
Jason Jones\jason-jones-1,SO,2010-11,F-G,Middle Tennessee,Sun Belt,32,29.6,1.7,3.1,4.8,1.5,1.3,0.2,2.4,2.8,13.1,66.07142857,47.91666667,37.5
Tony Bishop\tony-bishop-1,SR,2010-11,F,Texas State,Southland,32,25.3,2.8,5.3,8.1,0.9,1.2,1.1,1.5,2.6,13,64,56.97674419,0
J.T. Durley\jt-durley-1,SR,2010-11,C-F,Wichita State,MVC,37,25.2,1.3,3.7,4.9,1.4,0.5,0.5,1.3,2.2,11.2,80.76923077,48.31460674,28.57142857
Jamar Diggs\jamar-diggs-1,SR,2010-11,G,Wofford,Southern,33,32.2,0.4,2.7,3.1,3.1,1.8,0.8,1.8,2.9,12.6,75.6097561,42.15686275,34.7826087
Mark Payne\mark-payne-1,SR,2010-11,G,UC-Davis,Big West,27,33.9,1.3,3.7,5,3.6,1.1,0.2,2,1.5,15.4,80.32786885,52.12765957,35
Ricky Taylor\ricky-taylor-1,JR,2010-11,G,Chattanooga,Southern,32,26.9,0.7,3,3.7,1.2,0.4,0,1.8,1.5,13,74.35897436,43,34.14634146
Darius Miller\darius-miller-1,JR,2010-11,G,Kentucky,SEC,38,31,1.3,3.2,4.6,1.7,0.8,1.1,1.5,2.6,10.9,83.33333333,47.56097561,44.11764706
Joey Rodriguez\joey-rodriguez-1,SR,2010-11,G,Virginia Commonwealth,CAA,40,33.6,0.6,2.6,3.2,5.2,1.5,0.1,2.3,2.2,10.4,79.31034483,34.7826087,33.33333333
Gary Johnson\gary-johnson-1,SR,2010-11,F,Texas,Big 12,36,30.3,1.8,5,6.8,1.3,0.4,0.3,1.6,2.5,11.5,66.66666667,46.06741573,0
Jordan Callahan\jordan-callahan-1,SO,2010-11,G,Tulane,CUSA,30,34.3,0.6,1.9,2.6,4.1,1.4,0.1,2.6,2.7,13.7,74.19354839,40.86956522,38.18181818
N'Gai Evans\ngai-evans-1,SR,2010-11,G,Wright State,Horizon,30,35.8,0.7,3.3,3.9,3.3,1.5,0.2,2.5,2.3,13.7,77.77777778,45.63106796,37.5
D.J. Gay\dj-gay-1,SR,2010-11,G,San Diego State,MWC,37,35.2,0.3,1.9,2.2,3.1,1.1,0.1,1.3,0.8,11.1,69.23076923,37.37373737,36.36363636
Luke Sikma\luke-sikma-1,SR,2010-11,F,Portland,WCC,32,31.1,3.3,7.3,10.5,2.6,1.3,0.8,2.1,2.7,12.9,77.77777778,53.19148936,25
Darion Anderson\darion-anderson-1,SR,2010-11,G,Iowa State,Big 12,32,33.3,2.2,5.1,7.2,2.5,1,0.1,2.6,1.9,12.8,71.875,44.33962264,34.28571429
Ben Botts\ben-botts-1,SR,2010-11,G,IPFW,Summit,30,30.6,0.6,2.6,3.2,2.2,0.8,0.2,1.2,1.5,13.7,82.14285714,47.47474747,44.44444444
Mike Ringgold\mike-ringgold-1,SR,2010-11,F,Rider,MAAC,34,30.9,2.6,2.8,5.4,2.5,0.9,0.6,2.8,2.8,12.1,43.24324324,50.96153846,0
Grant Maxey\grant-maxey-1,SR,2010-11,F,Jackson State,SWAC,31,21.5,2.2,3.2,5.4,1.2,1.2,0.5,2.1,2.6,13.2,77.77777778,45.36082474,27.27272727
Jeff Ledbetter\jeff-ledbetter-1,SR,2010-11,G,Idaho,WAC,32,29,0.3,2.6,2.9,2,1.4,0.1,2,1.9,12.8,85.71428571,44.82758621,45.58823529
Jermaine Mallett\jermaine-mallett-1,SR,2010-11,G,Missouri State,MVC,35,32.9,1.7,4.3,6,2.9,0.8,0.1,2,2.5,11.7,82.35294118,45.78313253,39.39393939
Casey Mitchell\casey-mitchell-1,SR,2010-11,G,West Virginia,Big East,30,23.5,1,1.8,2.8,1.1,0.7,0.2,1.7,1.2,13.6,89.28571429,42.45283019,37.28813559
Christian Polk\christian-polk-1,SR,2010-11,G,Texas-El Paso,CUSA,35,32.9,0.3,2.3,2.6,3,0.9,0.2,1.9,2.3,11.7,93.75,44.68085106,45.23809524
Nick Winbush\nick-winbush-1,SR,2010-11,F,Miami (OH),MAC,33,34.2,1.6,5.3,6.9,1,0.7,1.1,1.3,2.9,12.4,76.19047619,40.74074074,35.59322034
Carlton Fay\carlton-fay-1,SR,2010-11,F,Southern Illinois,MVC,32,28.8,1,3,4,0.7,0.4,0.3,1.8,2.5,12.7,86.84210526,40.77669903,28.57142857
Jerron Granberry\jerron-granberry-1,SO,2010-11,G-F,North Florida,A-Sun,34,29.4,0.7,2.5,3.2,1.4,0.7,0.2,1.9,2.1,12,83.72093023,33.33333333,33.33333333
Dan Mavraides\dan-mavraides-1,SR,2010-11,G,Princeton,Ivy,32,33,0.6,4,4.6,2.8,1.1,0.1,2.8,2.7,12.7,78.37837838,39.39393939,38.7755102
Chandler Parsons\chandler-parsons-1,SR,2010-11,F,Florida,SEC,36,34.1,2.1,5.7,7.8,3.8,0.9,0.4,2.3,1.9,11.3,55.55555556,47.77777778,36.36363636
Akeem Bennett\akeem-bennett-1,SR,2010-11,G-F,St. Francis (NY),NEC,29,32.8,1.8,4,5.8,2.8,2.6,0.6,3.6,3.3,14,69.81132075,39.47368421,28.88888889
Justin Brownlee\justin-brownlee-1,SR,2010-11,F,St. John's (NY),Big East,33,30.2,1.5,3.7,5.2,1.9,1.1,0.8,2,2.3,12.3,67.85714286,49.49494949,31.25
Javon Borum\javon-borum-1,SR,2010-11,G,UC-Riverside,Big West,31,33.7,0.5,2.2,2.6,2.8,1.1,0.1,2,2.5,13,80,37.16814159,38.33333333
Andrew Fitzgerald\andrew-fitzgerald-1,SO,2010-11,F,Oklahoma,Big 12,32,30.8,2.1,2.9,5,0.7,1.1,0.7,2.4,3.6,12.6,72.5,48.48484848,0
Aaron Mitchell\aaron-mitchell-1,SR,2010-11,G,Longwood,Ind,30,32.5,2.5,3.2,5.8,3.8,1,0.3,3,2.7,13.4,70.21276596,49.49494949,33.33333333
Greg Plater\greg-plater-1,SR,2010-11,G,Long Beach State,Big West,34,34.3,0.6,2,2.6,1.8,1,0.1,1.7,1.2,11.8,82.35294118,38,37.17948718
Spencer Perrin\spencer-perrin-1,SR,2010-11,F,Eastern Kentucky,OVC,30,30,1.3,4.2,5.5,2.1,0.9,0.9,1.5,2.4,13.3,70.58823529,53.125,40
Fred Brown\fred-brown-2,JR,2010-11,G,Louisiana-Monroe,Sun Belt,29,32.6,0.6,1.6,2.1,2.7,1.4,0.1,3.3,2.2,13.8,77.77777778,38.34586466,38.18181818
Lindsey Hughey\lindsey-hughey-1,SR,2010-11,G,Weber State,Big Sky,32,31.2,0.9,4.3,5.2,2.6,1.4,0.1,2.8,2.1,12.5,73.52941176,42.42424242,39.02439024
Travele Jones\travele-jones-1,SR,2010-11,F,Texas Southern,SWAC,25,34.3,2,4.8,6.9,1.7,1.7,0.4,3.4,2.8,16,66.66666667,47.95918367,21.42857143
Brad Wanamaker\brad-wanamaker-1,SR,2010-11,G,Pittsburgh,Big East,34,30.4,1.4,3.9,5.2,5.1,1.4,0.4,2.3,2.1,11.7,75.55555556,44.82758621,35.71428571
Bryson Johnson\bryson-johnson-1,SO,2010-11,G,Bucknell,Patriot,34,29.1,0.1,1.9,2,1.1,0.5,0,1.1,1.3,11.7,83.33333333,45.33333333,45.3125
R.L. Horton\rl-horton-1,SR,2010-11,G,Southern Mississippi,CUSA,32,31.2,0.3,2.6,2.9,2.1,1,0,1.2,1.9,12.4,72.97297297,43.43434343,39.28571429
Donavan Bragg\donavan-bragg-1,SR,2010-11,G,Cal State Bakersfield,Ind,28,31.5,0.7,1.9,2.6,2.4,0.8,0,2.1,1.3,14.1,83.67346939,37.39130435,35.55555556
Deontay Twyman\deontay-twyman-1,SR,2010-11,G,Quinnipiac,NEC,32,30.8,0.8,3.2,3.9,3.6,0.7,0.2,2.2,2.4,12.4,75.75757576,38.88888889,32.55813953
Jeron Belin\jeron-belin-1,SR,2010-11,F,Saint Peter's,MAAC,34,26.6,2.2,3,5.2,0.8,0.9,0.6,2.4,2.6,11.6,57.69230769,37.86407767,28.57142857
DeAngelo Casto\deangelo-casto-1,JR,2010-11,F,Washington State,Pac-10,33,28.5,2.2,4.6,6.8,1,1.1,1.8,2.2,3.1,12,61.9047619,57.31707317,0
Will Creekmore\will-creekmore-2,SR,2010-11,F-C,Missouri State,MVC,35,24.8,2.3,4.1,6.5,1.1,0.5,0.8,1.7,2.6,11.3,59.57446809,56.75675676,0
Josten Crow\josten-crow-1,SR,2010-11,F,Sam Houston State,Southland,31,30.9,1.5,3.8,5.3,3.5,1.8,0.3,1.9,2.8,12.7,69.23076923,42.42424242,31.37254902
