Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
382,Miles Bowman\miles-bowman-1,SR,2016-17,F,High Point,Big South,26.8,4.7,9.2,3.6,6.9,1.2,2.3,3.2,3.6,2.3,6,8.3,0.8,0.5,0.6,1.3,2,13.8,88.88888889,51.08695652,52.17391304
383,Shawn Johnson\shawn-johnson-1,JR,2016-17,G,Incarnate Word,Southland,31.8,4.6,9.9,2.1,4.1,2.5,5.8,2.7,3.9,1.2,5.4,6.7,1.5,1.2,1.3,1.8,2.7,14.4,69.23076923,46.46464646,43.10344828
384,Trey Kell\trey-kell-1,JR,2016-17,G,San Diego State,MWC,31.6,4.8,11.7,3.5,7.2,1.3,4.5,3.5,4.5,0.5,4,4.5,2.8,1.4,0.4,1.9,1.6,14.4,77.77777778,41.02564103,28.88888889
385,Kyle Kuzma\kyle-kuzma-1,JR,2016-17,F,Utah,Pac-12,30.7,6,12.3,5.3,9.5,0.8,2.8,2.8,4.3,3,7.2,10.2,2.5,0.7,0.5,2.1,1.5,15.7,65.11627907,48.7804878,28.57142857
386,Ja'Quan Newton\jaquan-newton-1,JR,2016-17,G,Miami (FL),ACC,32.3,5.6,11.9,5.2,10.4,0.4,1.5,3.4,4.8,0.7,3.1,3.8,3.6,1.1,0,3.5,1.7,15,70.83333333,47.05882353,26.66666667
387,Junior Robinson\lamont-robinson-1,JR,2016-17,G,Mount St. Mary's,NEC,32.9,4.2,10.3,2.2,5.2,2,5.1,2.9,3.3,0.2,1.3,1.5,2.8,0.9,0.1,2.6,2.1,13.3,87.87878788,40.77669903,39.21568627
388,Justin Strings\justin-strings-1,JR,2016-17,F,Sacramento State,Big Sky,32.8,5.6,13.5,3.8,8.4,1.8,5,2.7,4.5,1.2,4.6,5.7,1.1,0.4,0.4,1.6,2.3,15.7,60,41.48148148,36
389,James Thompson IV\james-thompsoniv-1,SO,2016-17,F,Eastern Michigan,MAC,29.7,5.4,9.7,5.4,9.7,0,0,3.5,4.9,4.9,6.1,11,1.2,0.7,0.9,2.1,3.2,14.4,71.42857143,55.67010309,0
390,Noah Allen\noah-allen-1,SR,2016-17,G,Hawaii,Big West,28.8,5.3,11.3,4,7.2,1.3,4.1,3.2,4,0.9,4.7,5.6,2,1,0.3,2.6,1.7,15,80,46.90265487,31.70731707
391,Dominic Artis\dominic-artis-1,SR,2016-17,G,Texas-El Paso,CUSA,36.4,5.6,13.1,4.5,9.1,1.1,4,2.7,4.3,0.7,5.8,6.5,6.1,2,0.2,3.4,2.5,15,62.79069767,42.7480916,27.5
392,Jordan Caroline\jordan-caroline-1,SO,2016-17,G,Nevada,MWC,35.2,4.5,10.4,3.8,8.3,0.7,2.1,4.1,7.3,3.4,5.7,9.1,2.2,1.2,0.3,2.1,2.5,13.8,56.16438356,43.26923077,33.33333333
393,Mike Lewis II\mike-lewisii-1,FR,2016-17,G,Duquesne,A-10,30.7,4.3,10.5,2.3,5.2,2,5.3,3.1,3.7,0.2,2,2.2,1.6,0.7,0,2,2,13.8,83.78378378,40.95238095,37.73584906
394,Diante Baldwin\diante-baldwin-1,SR,2016-17,G,North Carolina-Greensboro,Southern,29.9,4.8,11,3.5,7.8,1.3,3.3,2.4,3.2,0.7,2.7,3.5,4,1.8,0.1,2.3,2,13.3,75,43.63636364,39.39393939
395,Tucker Haymond\tucker-haymond-1,SR,2016-17,G,Western Michigan,MAC,31.1,4.8,10.5,3.5,7.3,1.2,3.2,3.6,4.8,1.5,3.3,4.8,2.8,0.8,0.1,2.7,2.2,14.3,75,45.71428571,37.5
396,Bryant McIntosh\bryant-mcintosh-1,JR,2016-17,G,Northwestern,Big Ten,33.9,5,13.3,4,9.4,1.1,4,2.6,3,0.3,2.5,2.8,5.6,0.7,0.2,2.7,2.2,13.8,86.66666667,37.59398496,27.5
397,Jaaron Simmons\jaaron-simmons-1,JR,2016-17,G,Ohio,MAC,35.6,5.3,12.5,4.2,9.4,1.1,3.1,3.3,4.6,0.5,3,3.5,6.9,1,0,3.8,2.3,14.9,71.73913043,42.4,35.48387097
398,Elijah Stewart\elijah-stewart-1,JR,2016-17,G,Southern California,Pac-12,30,4.7,10.9,2.3,4.9,2.4,6,1.9,2.6,1.6,3.2,4.8,1.3,0.8,1.2,1.1,2.8,13.8,73.07692308,43.11926606,40
399,Jacobi Boykins\jacobi-boykins-1,JR,2016-17,G,Louisiana Tech,CUSA,30.7,4.6,10,1.9,3.5,2.8,6.5,2.2,3,0.7,3.9,4.6,2.2,2,0.5,1.2,2.3,14.3,73.33333333,46,43.07692308
400,Jarrell Brantley\jarrell-brantley-1,SO,2016-17,F,College of Charleston,CAA,31.7,4.4,10.4,3.4,7.9,0.9,2.5,3.6,4.6,1.5,6.8,8.3,1.2,1,0.6,2.6,3,13.2,78.26086957,42.30769231,36
401,Robert Johnson\robert-johnson-5,JR,2016-17,G,Indiana,Big Ten,28.7,4.9,10.6,2.8,5.2,2.1,5.4,1.3,1.7,0.3,4,4.3,2.2,0.7,0.1,2.4,2.1,13.2,76.47058824,46.22641509,38.88888889
402,Peter Kiss\peter-kiss-1,FR,2016-17,G,Quinnipiac,MAAC,29.5,5.2,12.1,3.9,8,1.3,4.1,2.1,2.8,1.2,4.3,5.5,2.6,1.3,0.2,2.8,1.8,13.7,75,42.97520661,31.70731707
403,Paris Lee\paris-lee-1,SR,2016-17,G,Illinois State,MVC,31.1,4.3,9.9,2,4.4,2.3,5.5,2.3,3,0.3,3.3,3.6,5,2.2,0.1,2.8,1.5,13.2,76.66666667,43.43434343,41.81818182
404,Josh McFolley\josh-mcfolley-1,SO,2016-17,G,Detroit Mercy,Horizon,29.3,4.6,10.8,2,4.4,2.6,6.5,2.5,3.3,0.3,2.1,2.4,3,2,0,2.8,2.8,14.3,75.75757576,42.59259259,40
405,Chris Reyes\chris-reyes-1,SR,2016-17,F,Pepperdine,WCC,34,5.5,10.3,5.4,10,0.1,0.3,2.6,4.5,2.3,5.8,8.2,2.5,0.3,1.5,1.6,2.6,13.7,57.77777778,53.39805825,33.33333333
406,Tim Williams\tim-williams-3,SR,2016-17,F,New Mexico,MWC,33.8,7,12.1,7,11.9,0.1,0.3,3.8,5.3,2,5,7,1.6,0.6,0.7,1.9,2,17.9,71.69811321,57.85123967,33.33333333
407,Ethan Happ\ethan-happ-1,SO,2016-17,F,Wisconsin,Big Ten,27.2,6,10,6,10,0,0,2.2,4.4,3,6.2,9.2,2.8,2,1.1,2.1,2.4,14.2,50,60,0
408,Jared Sam\jared-sam-1,JR,2016-17,F,Southern,SWAC,32.6,4.5,7.8,4.5,7.7,0,0,4.7,6.3,2.4,4.8,7.2,1,0.8,0.7,2,2.7,13.7,74.6031746,57.69230769,0
409,Bashir Ahmed\bashir-ahmed-1,JR,2016-17,G,St. John's (NY),Big East,26.7,4.3,10.7,2.6,6.2,1.7,4.6,3,4.3,1.7,3.9,5.5,1.3,0.5,0.4,2.5,2.6,13.1,69.76744186,40.18691589,36.95652174
410,Jason Dunne\jason-dunne-1,SO,2016-17,G,Hartford,AEC,32.4,4.4,11.2,2.1,4.9,2.3,6.3,2,2.6,0.7,3.3,4,2,1.2,0.4,2.4,3,13.1,76.92307692,39.28571429,36.50793651
411,Javontae Hawkins\javontae-hawkins-1,SR,2016-17,G,Fordham,A-10,30.3,4.5,10.5,3.6,7.9,0.9,2.5,3.7,4.4,1.4,3.7,5.1,1,1.1,0.4,2.1,2.9,13.7,84.09090909,42.85714286,36
412,Justin Patton\justin-patton-1,FR,2016-17,C,Creighton,Big East,25.5,6,8.6,5.8,8.1,0.2,0.5,1.4,2.7,1.7,4.6,6.3,1.2,1.1,1.7,1.6,2.5,13.7,51.85185185,69.76744186,40
413,Zane Waterman\zane-waterman-1,JR,2016-17,F,Manhattan,MAAC,26.8,4.3,9.3,3.1,6,1.2,3.3,3.3,4.3,2.1,4.9,7,0.7,0.7,0.4,2,2.9,13.1,76.74418605,46.23655914,36.36363636
414,Thomas Bryant\thomas-bryant-1,SO,2016-17,C,Indiana,Big Ten,28.6,4.5,8.4,3.7,6.5,0.7,1.9,3.4,4.7,2.4,4.6,7,1.3,0.9,1.4,2.2,2.9,13.1,72.34042553,53.57142857,36.84210526
415,Deonte Burton\deonte-burton-2,SR,2016-17,G,Iowa State,Big 12,28.7,5.6,12.7,4.5,9.6,1.1,3.1,1.8,2.9,1.4,5.3,6.7,1.8,2,1.5,2.2,3,14.2,62.06896552,44.09448819,35.48387097
416,Jaron Martin\jaron-martin-1,SR,2016-17,G,UC-Irvine,Big West,29.3,4.8,11.4,2.9,6.4,1.9,5,1.7,2,0.4,2.8,3.2,3.3,0.7,0,1.8,1.6,13.1,85,42.10526316,38
417,Dexter McClanahan\dexter-mcclanahan-1,SO,2016-17,G,Savannah State,MEAC,26.6,5,11.8,2.6,4.8,2.4,7,2.9,4.3,0.7,4.9,5.6,2.1,1,0.1,2.2,1.5,15.4,67.44186047,42.37288136,34.28571429
418,Kyle Washington\kyle-washington-2,JR,2016-17,F,Cincinnati,AAC,24.7,5.5,10.6,5,9.3,0.5,1.3,2,3.1,2.3,4.7,7,1.1,0.4,1.4,1.7,2.3,13.6,64.51612903,51.88679245,38.46153846
419,Derreck Brooks\derreck-brooks-1,SR,2016-17,G,Central Arkansas,Southland,33,5.1,12.1,3.3,7.1,1.8,5,2.1,2.5,1.5,5.7,7.2,3.2,0.6,1.1,2.4,2.5,14.1,84,42.14876033,36
420,Xavier Johnson\xavier-johnson-1,SR,2016-17,G,Colorado,Pac-12,27.6,5.1,10,3.8,7.1,1.3,2.9,3.3,5,1.5,4.5,6,1,0.4,0.3,1.5,2.5,14.7,66,51,44.82758621
421,James McGee\james-mcgee-1,JR,2016-17,G,Southern Utah,Big Sky,32.6,4,10.1,1.1,3.3,2.9,6.8,2.6,3.7,0.6,2.1,2.7,2.5,0.8,0.1,1.9,2.7,13.6,70.27027027,39.6039604,42.64705882
422,Jaylin Walker\jaylin-walker-1,SO,2016-17,G,Kent State,MAC,28.3,5,12.5,2.5,5.4,2.5,7.1,2.3,2.8,1.3,2.2,3.5,0.8,0.8,0,2.3,1.7,14.7,82.14285714,40,35.21126761
423,Brian Dawkins\brian-dawkins-1,JR,2016-17,F,Elon,CAA,25.6,5.3,10,3.8,6.9,1.4,3.1,1.1,1.7,1.2,4.2,5.4,0.9,0.4,0.2,1.1,2.3,13,64.70588235,53,45.16129032
424,Obi Enechionyia\obi-enechionyia-1,JR,2016-17,F,Temple,AAC,32.7,4.9,12,2.6,6.1,2.2,5.9,1.1,1.6,1.4,4.7,6.1,1,0.5,1.6,1.4,3.1,13,68.75,40.83333333,37.28813559
425,Justin Johnson\justin-johnson-7,JR,2016-17,F,Western Kentucky,CUSA,30.8,5.2,9.9,4.4,8,0.8,1.9,2.8,5.2,2.4,6.4,8.8,1.9,0.3,0.6,1.4,1.5,14.1,53.84615385,52.52525253,42.10526316
426,Que Johnson\que-johnson-1,SR,2016-17,G,Western Kentucky,CUSA,32.2,4.6,11.4,2.5,5.3,2.1,6.1,2.8,3.7,0.6,4.6,5.2,2,0.9,0.3,2,2,14.1,75.67567568,40.35087719,34.42622951
427,Kris Martin\kris-martin-1,SO,2016-17,G,Oral Roberts,Summit,32,4.7,10.9,1.8,4.1,2.9,6.8,2.4,3.2,0.3,3.5,3.8,2.3,1.3,0.5,2.3,2.3,14.7,75,43.11926606,42.64705882
428,Ethan Telfair\ethan-telfair-1,SR,2016-17,G,Idaho State,Big Sky,36,5.1,15.1,3.5,10.1,1.7,5,4.8,6.4,0.9,3.3,4.2,5.2,2.2,0,3.7,2.4,16.8,75,33.77483444,34
429,Jaylin Airington\jaylin-airington-1,SR,2016-17,F,Cal State Bakersfield,WAC,30.8,4.7,11,3.5,7.7,1.3,3.3,4,5,1.8,3.3,5,2.3,0.8,0.1,2,2.2,14.6,80,42.72727273,39.39393939
430,David Efianayi\david-efianayi-1,SO,2016-17,G,Gardner-Webb,Big South,25.3,4.6,8.4,3.9,6.9,0.7,1.6,3.2,4.7,0.4,2.1,2.5,2,0.9,0.2,2.3,1.6,13,68.08510638,54.76190476,43.75
431,Phil Forte\phil-forte-1,SR,2016-17,G,Oklahoma State,Big 12,30.6,4.1,9.8,1.5,3.5,2.6,6.3,2.7,2.9,0.7,1.8,2.5,1.7,1,0.1,0.9,1.5,13.5,93.10344828,41.83673469,41.26984127
432,Kris Jenkins\kris-jenkins-1,SR,2016-17,F,Villanova,Big East,31.3,3.9,9.9,1.2,3.1,2.7,6.9,2.6,2.9,0.3,4,4.3,2,1,0.3,1.5,2,13,89.65517241,39.39393939,39.13043478
433,Alec Wintering\alec-wintering-1,SR,2016-17,G,Portland,WCC,37.1,6.8,15.4,6.1,13.3,0.7,2.1,5.2,6.8,1.1,3.6,4.6,5.6,1.9,0,4.6,2.4,19.5,76.47058824,44.15584416,33.33333333
434,Evan Boudreaux\evan-boudreaux-1,SO,2016-17,F,Dartmouth,Ivy,33.1,5.8,13.7,4.4,9.7,1.3,4,3.8,5.4,2,7.4,9.3,1,0.8,0.4,2.8,2.1,16.7,70.37037037,42.33576642,32.5
435,Darin Johnson\darin-johnson-1,JR,2016-17,G,Cal State Northridge,Big West,30.8,4.2,9.2,3,6.1,1.2,3,4.4,5.6,1,3,4,2,0.9,0.2,1.5,1.9,14,78.57142857,45.65217391,40
436,Vic Law\vic-law-1,SO,2016-17,F,Northwestern,Big Ten,32.3,4.5,10.9,2.6,6.4,1.9,4.5,2.7,3.7,1.4,4.7,6.1,1.8,1,0.6,1.6,2.7,13.5,72.97297297,41.28440367,42.22222222
437,Deron Powers\deron-powers-1,SR,2016-17,G,Hofstra,CAA,32.7,4,9.9,2.7,6,1.3,3.9,3.7,4.6,0.4,2,2.3,5.1,0.7,0,2.6,2.3,13,80.43478261,40.4040404,33.33333333
438,Glynn Watson Jr.\glynn-watsonjr-1,SO,2016-17,G,Nebraska,Big Ten,31.5,4.9,11.1,3.3,7.3,1.6,3.8,2.6,3.2,0.5,2.5,3,2.7,1.8,0.2,1.5,2.8,14,81.25,44.14414414,42.10526316
439,Aubrey Williams\aubrey-williams-2,SR,2016-17,F,Kennesaw State,A-Sun,32.1,4.8,8.3,4.8,8.3,0,0,3.3,4.9,3.3,7.4,10.7,1.5,0.7,0.7,1.7,3.2,13,67.34693878,57.8313253,0
440,Corey Allen\corey-allen-2,FR,2016-17,G,Detroit Mercy,Horizon,32.1,5.1,11.2,2.4,5.4,2.7,5.8,1.7,2.7,0.8,2.1,2.9,1.8,1,0.1,1.8,2.3,14.5,62.96296296,45.53571429,46.55172414
441,Jaron Hopkins\jaron-hopkins-1,JR,2016-17,G,Fresno State,MWC,30,5.6,11.4,5.3,10.3,0.2,1.1,2,3.4,1.4,4.2,5.5,3.5,2.1,0.3,3,2.8,13.4,58.82352941,49.12280702,18.18181818
442,Nick Perkins\nick-perkins-2,SO,2016-17,F,Buffalo,MAC,26.5,5,11.4,3.9,7.5,1.1,3.8,2.3,3.7,1.8,5.2,7,0.7,0.3,0.9,2.4,2.8,13.4,62.16216216,43.85964912,28.94736842
443,Ray Bowles\ray-bowles-1,JR,2016-17,F,Pacific,WCC,33.2,4.1,11.8,2.6,7.3,1.6,4.5,3,4.5,1.1,2.7,3.8,2.3,0.7,0.3,2.1,3,12.9,66.66666667,34.74576271,35.55555556
444,Kedar Edwards\kedar-edwards-1,SR,2016-17,F,Tennessee-Martin,OVC,31,5,10.9,4.1,7.4,0.9,3.5,2.1,3.1,2.3,3.9,6.2,4.5,1.6,0.6,3.6,2.1,12.9,67.74193548,45.87155963,25.71428571
445,Jacob Evans\jacob-evans-1,SO,2016-17,G,Cincinnati,AAC,31,4.7,10,2.8,5.2,1.8,4.8,2.2,3,1.4,2.6,4,2.8,1.3,0.7,1.4,2.2,13.4,73.33333333,47,37.5
446,Corey Sanders\corey-sanders-2,SO,2016-17,G,Rutgers,Big Ten,30.3,5,12.7,4.4,10.7,0.6,2.1,2.4,3.9,0.5,3,3.5,3.5,1.4,0.5,2.8,2,12.9,61.53846154,39.37007874,28.57142857
447,Devontae Cacok\devontae-cacok-1,SO,2016-17,F,North Carolina-Wilmington,CAA,26.4,5.5,7,5.5,7,0,0,1.8,3.2,3.5,6.6,10.1,0.4,1.1,1.4,1.1,3.6,12.9,56.25,78.57142857,0
448,Nick Emery\nick-emery-1,SO,2016-17,G,Brigham Young,WCC,30.1,4.5,10.8,2.4,5,2.1,5.8,1.8,2.1,0.1,2.8,2.9,2.4,1.7,0.3,2,2.9,12.9,85.71428571,41.66666667,36.20689655
449,Harald Frey\harald-frey-1,FR,2016-17,G,Montana State,Big Sky,32.6,4.3,9.3,2,3.8,2.3,5.5,2.4,2.8,0.4,2.1,2.5,3.3,0.7,0,1.8,2.7,13.3,85.71428571,46.23655914,41.81818182
450,Brock Stull\brock-stull-1,SO,2016-17,G,Milwaukee,Horizon,32.6,4.9,10.9,3.4,6.9,1.5,4,1.6,2,1.1,5.6,6.7,3,0.6,0,2.3,1.9,12.9,80,44.95412844,37.5
451,Marlain Veal\marlain-veal-1,SO,2016-17,G,Southeastern Louisiana,Southland,28.7,4.4,9.5,3.2,6.5,1.2,3,3.3,4.4,0.9,2.7,3.6,4.4,1.7,0,3.8,2.5,13.3,75,46.31578947,40
452,Willie Conner\willie-conner-1,SR,2016-17,F,Buffalo,MAC,30.5,4.1,9.9,2,4.2,2.1,5.8,3,4.1,0.8,1.6,2.4,1.2,0.5,0.4,1.8,2.5,13.3,73.17073171,41.41414141,36.20689655
453,Colter Lasher\colter-lasher-1,SR,2016-17,F,Houston Baptist,Southland,28.6,5.6,12.1,4,7.6,1.6,4.6,2.3,3,1,2.8,3.8,2.9,1.1,0.5,2.2,2,15,76.66666667,46.28099174,34.7826087
454,Rob Marberry\rob-marberry-1,SO,2016-17,C,Lipscomb,A-Sun,23,5.1,8.3,5.1,8.3,0,0,2.1,2.8,1.6,2.9,4.5,2,0.4,0.8,1.6,2.8,12.4,75,61.44578313,0
455,Justin Tuoyo\justin-tuoyo-1,SR,2016-17,F,Chattanooga,Southern,28.3,4.9,7.6,4.7,7,0.3,0.6,3.2,4.5,2.4,4.3,6.7,1.1,0.7,3.2,1.7,2.6,13.3,71.11111111,64.47368421,50
456,Brandon Brown\brandon-brown-4,SR,2016-17,G,Loyola Marymount,WCC,31.5,4.6,11.4,3,7.4,1.6,4.1,2.9,4,0.8,2.2,3,4.4,1.3,0,2.3,1.6,13.8,72.5,40.35087719,39.02439024
457,Tre'Shawn Thurman\treshawn-thurman-1,JR,2016-17,F,Nebraska-Omaha,Summit,29.5,4.9,10.2,4.7,8.9,0.2,1.3,3.3,4.7,1.8,5.8,7.6,1.4,0.5,0.8,1.9,2.6,13.3,70.21276596,48.03921569,15.38461538
458,Jarrett Allen\jarrett-allen-1,FR,2016-17,F,Texas,Big 12,31.3,5.5,9.5,5.5,9.3,0,0.2,2.3,4.3,3,5.5,8.6,0.8,0.5,1.5,2.8,2.2,13.2,53.48837209,57.89473684,0
459,KeVaughn Allen\kevaughn-allen-1,SO,2016-17,G,Florida,SEC,27.2,4.5,9.9,2.5,4.6,2.1,5.3,2.1,2.4,0.3,2.1,2.4,1.4,1.3,0.2,1.3,1.6,13.2,87.5,45.45454545,39.62264151
460,PJ Dozier\pj-dozier-1,SO,2016-17,G,South Carolina,SEC,27.2,5.1,12.5,3.7,8.6,1.4,3.9,2.2,3.5,0.8,3.6,4.4,3,1.7,0.2,2.1,2.9,13.8,62.85714286,40.8,35.8974359
461,Burak Eslik\burak-eslik-1,SR,2016-17,G,Southern Illinois-Edwardsville,OVC,32.3,3.4,9.4,2.1,5.1,1.3,4.3,4.6,5.7,0.2,2.7,2.9,1.8,0.4,0,1.9,1.4,12.7,80.70175439,36.17021277,30.23255814
462,Isaac Haas\isaac-haas-1,JR,2016-17,C,Purdue,Big Ten,20.8,4.5,7.7,4.5,7.7,0,0,4.2,5.8,2,3.4,5.3,0.7,0.3,0.9,2.3,2.1,13.2,72.4137931,58.44155844,0
463,Dequon Miller\dequon-miller-1,SR,2016-17,G,Missouri State,MVC,35.2,4,10.4,2.5,5.8,1.5,4.6,2.7,3.7,0.7,2.4,3.1,3.9,1.1,0,2.3,1.5,12.3,72.97297297,38.46153846,32.60869565
464,Sean O'Brien\sean-obrien-1,JR,2016-17,F,Southern Illinois,MVC,31.6,5.2,10.2,5,8.8,0.3,1.4,1.6,2.9,2.3,6,8.4,2.5,0.9,0.3,2.6,3.4,12.3,55.17241379,50.98039216,21.42857143
465,Reed Tellinghuisen\reed-tellinghuisen-1,JR,2016-17,G,South Dakota State,Summit,33.2,4,10,1.8,3.6,2.2,6.4,1.6,2,1,3.7,4.7,1.8,0.9,0.8,1.8,2.4,11.9,80,40,34.375
466,Isaac Williams\isaac-williams-1,SR,2016-17,G,Mississippi Valley State,SWAC,27.5,4.7,12.2,2.5,6.2,2.2,6,1.7,2.2,1.3,2.3,3.6,0.9,0.8,0.2,0.6,2,13.2,77.27272727,38.52459016,36.66666667
467,Reggie Baker\reggie-baker-1,SR,2016-17,G,Bethune-Cookman,MEAC,31.9,5.2,13.8,4.1,9.3,1.2,4.4,2.1,2.8,1.4,3.6,5,1.8,0.9,0.1,1.6,2.1,13.7,75,37.68115942,27.27272727
468,Devonte' Graham\devonte-graham-1,JR,2016-17,G,Kansas,Big 12,34.8,4.6,10.2,2.1,3.8,2.5,6.4,1.5,2.1,0.6,2.6,3.2,4.3,1.5,0.2,1.8,1.7,13.2,71.42857143,45.09803922,39.0625
469,Aaron Holiday\aaron-holiday-1,SO,2016-17,G,UCLA,Pac-12,26.6,4.4,8.7,2.8,4.9,1.6,3.8,2.8,3.4,0.4,2.7,3.1,4.5,1.1,0.2,2.5,2.2,13.2,82.35294118,50.57471264,42.10526316
470,Braxton Huggins\braxton-huggins-1,JR,2016-17,G,New Mexico State,WAC,26.7,3.8,8.8,1.2,2.8,2.6,6,3,3.7,0.3,2.5,2.8,1.2,0.3,0.3,1.6,1.9,13.2,81.08108108,43.18181818,43.33333333
471,Donte Ingram\donte-ingram-1,JR,2016-17,G,Loyola (IL),MVC,32.4,5,9.1,3,5.1,2,4,1.8,2.6,1.1,5.4,6.6,1.3,1,0.2,1.4,1.7,13.7,69.23076923,54.94505495,50
472,Geno Crandall\geno-crandall-1,SO,2016-17,G,North Dakota,Big Sky,31,5.3,10.2,4.3,7.2,1,3,4,5.2,0.6,2.6,3.2,3.7,1.9,0.3,3.1,3.1,15.5,76.92307692,51.96078431,33.33333333
473,Andre Fox\andre-fox-1,SO,2016-17,G,High Point,Big South,29.4,3.9,9.9,2.7,6.4,1.2,3.4,3.6,4.6,1.1,3.1,4.2,2.3,0.7,0.6,2.1,1.9,12.7,78.26086957,39.39393939,35.29411765
474,Nick Ward\nick-ward-1,FR,2016-17,F,Michigan State,Big Ten,19.4,5,8.3,5,8.3,0,0,3.2,5.6,2.2,3.7,5.9,0.5,0.4,1.8,1.7,2.7,13.2,57.14285714,60.24096386,0
475,Elijah Wilson\elijah-wilson-1,SR,2016-17,G,Coastal Carolina,Sun Belt,29.6,4.5,12.2,1.7,4.3,2.7,7.9,1.5,2,0.8,2.3,3.2,1.2,0.8,0.1,1.9,1.8,13.2,75,36.8852459,34.17721519
476,Tony Carr\tony-carr-1,FR,2016-17,G,Penn State,Big Ten,32.2,4,10.6,3,7.5,1.1,3.1,3.5,4.4,0.6,4.1,4.7,3.8,0.7,0.2,2.6,2.3,12.6,79.54545455,37.73584906,35.48387097
477,Stephan Jiggetts\stephan-jiggetts-1,JR,2016-17,G,Fairleigh Dickinson,NEC,35.2,4.3,10.5,3,6.7,1.2,3.8,3.8,4.8,0.5,2.5,3,4.6,0.6,0.1,3.2,3,13.6,79.16666667,40.95238095,31.57894737
478,Daryl Macon\daryl-macon-1,JR,2016-17,G,Arkansas,SEC,25.8,3.8,8.8,2,3.9,1.8,4.9,3.8,4.3,0.5,2.2,2.7,2.2,1.1,0.1,1.8,2,13.1,88.37209302,43.18181818,36.73469388
479,Marin Maric\marin-maric-1,SR,2016-17,C,Northern Illinois,MAC,27.9,5,9.4,4.8,8.7,0.2,0.7,3,4.5,3,4.7,7.6,0.8,0.7,0.7,2.4,2.9,13.1,66.66666667,53.19148936,28.57142857
480,Austin Nehls\austin-nehls-1,SO,2016-17,G,Central Connecticut State,NEC,36,3.9,10,1.5,3.5,2.4,6.4,3.4,4.2,1,2.6,3.6,1.4,0.7,0.3,1.3,1.9,13.6,80.95238095,39,37.5
481,Jalen Adams\jalen-adams-2,SO,2016-17,G,Connecticut,AAC,36.1,5.7,13,4.5,9.7,1.2,3.2,2.1,2.7,0.7,3.7,4.5,6.7,1,0.2,3.2,2,14.8,77.77777778,43.84615385,37.5
482,Tyler Dorsey\tyler-dorsey-1,SO,2016-17,G,Oregon,Pac-12,29.1,4.4,10.1,2.3,4.8,2.1,5.3,2.2,2.9,1,2.4,3.4,1.9,0.6,0.1,1.4,1.3,13.1,75.86206897,43.56435644,39.62264151
483,Nigel Hayes\nigel-hayes-1,SR,2016-17,F,Wisconsin,Big Ten,31.4,4.6,10.2,3.9,7.8,0.7,2.4,3.7,5.9,2,3.9,5.9,2.9,0.9,0.3,1.7,1.6,13.6,62.71186441,45.09803922,29.16666667
484,William Lee\william-lee-1,JR,2016-17,F,Alabama-Birmingham,CUSA,27.6,4.4,9,3.1,5.5,1.3,3.5,2.9,3.7,1.1,5.8,6.9,1.5,0.9,2.3,1.8,1.6,13.1,78.37837838,48.88888889,37.14285714
485,Kennedy Meeks\kennedy-meeks-1,SR,2016-17,F,North Carolina,ACC,23.6,5.2,9.9,5.2,9.9,0,0,2.1,3.5,3.7,5.5,9.2,1.1,1,0.9,1.3,2.3,12.6,60,52.52525253,0
486,Charlie Moore\charlie-moore-1,FR,2016-17,G,University of California,Pac-12,30,4.5,10.6,3,6.7,1.5,3.9,3.1,4.1,0.4,1.6,2,3.7,1.2,0,3.1,2.6,13.6,75.6097561,42.45283019,38.46153846
487,Sean O'Brien\sean-obrien-2,JR,2016-17,G,Colgate,Patriot,36.1,4.2,9.3,2.1,4,2.1,5.3,1.7,1.8,0.5,2.1,2.6,4,1,0,2.4,2.8,12.1,94.44444444,45.16129032,39.62264151
488,Eli Pemberton\eli-pemberton-1,FR,2016-17,G,Hofstra,CAA,31.8,3.9,8.7,1.9,4,2,4.7,3.2,4.1,1.3,2.3,3.6,2,0.8,0.1,1.4,2.7,13.1,78.04878049,44.82758621,42.55319149
489,Trae Bell-Haynes\trae-bell-haynes-1,JR,2016-17,G,Vermont,AEC,27.3,4.1,8.2,3.6,6.7,0.5,1.5,2.9,3.9,0.6,1.9,2.4,3.9,1.1,0.1,2.1,2.3,11.7,74.35897436,50,33.33333333
490,Phillip Carr\phillip-carr-1,JR,2016-17,F,Morgan State,MEAC,36.6,6.7,13.9,6.1,12.6,0.7,1.3,3.7,4.5,3.4,5.9,9.3,0.9,0.6,1,1.9,2.3,17.8,82.22222222,48.20143885,53.84615385
491,Tim Coleman\tim-coleman-2,SR,2016-17,G,NJIT,A-Sun,29.9,4.1,10.4,3.3,7.4,0.9,2.9,3.4,4.6,1.3,5.9,7.2,2.5,1.3,1.1,2.5,3.6,12.6,73.91304348,39.42307692,31.03448276
492,Jalen Henry\jalen-henry-1,JR,2016-17,F,Southern Illinois-Edwardsville,OVC,26.1,4.3,9.1,3.7,7.6,0.6,1.6,3.5,5.1,1.8,3.8,5.6,0.5,0.3,0.7,2.1,3.3,12.6,68.62745098,47.25274725,37.5
