Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
97,Erik McCree\erik-mccree-1,SR,2016-17,F,Louisiana Tech,CUSA,31.1,6.3,12.8,4.5,8.2,1.8,4.7,3.3,4.3,1.7,7.2,8.9,1.1,0.5,0.5,2.7,1.7,17.8,76.74418605,49.21875,38.29787234
98,Marquise Moore\marquise-moore-1,SR,2016-17,G,George Mason,A-10,34.7,6.3,12.4,6,11.5,0.3,0.8,5,7.2,1.8,8.8,10.5,3.8,1,0.8,2.9,1.9,17.8,69.44444444,50.80645161,37.5
99,Rashawn Thomas\rashawn-thomas-1,SR,2016-17,F,Texas A&M-Corpus Christi,Southland,33.2,7.6,14.1,7.5,13.6,0.1,0.5,5.6,8.1,2.5,6.4,8.8,2.4,1.6,2,4,3.4,21,69.13580247,53.90070922,20
100,Evan Bradds\evan-bradds-1,SR,2016-17,F,Belmont,OVC,32.2,8.5,13.5,8.3,13.2,0.2,0.4,3.9,5,1.8,6.9,8.6,2.5,0.5,0.3,2.8,2.5,21,78,62.96296296,50
101,Tyler Nelson\tyler-nelson-1,JR,2016-17,G,Fairfield,MAAC,36.2,6.3,14.4,3.8,7.8,2.5,6.5,4,4.7,0.6,2.3,2.9,3.4,1.3,0.2,2.3,1.8,19.2,85.10638298,43.75,38.46153846
102,Shawn Prudhomme\shawn-prudhomme-1,SR,2016-17,F,Southern,SWAC,33.2,6.5,14.4,4.1,8.2,2.5,6.2,2.2,3.2,1.3,4.4,5.7,1.2,1.1,1.1,1.6,2.7,17.7,68.75,45.13888889,40.32258065
103,Kassius Robertson\kassius-robertson-1,JR,2016-17,G,Canisius,MAAC,34.3,5.5,12.2,2.4,4.9,3.1,7.3,3,3.7,0.9,2.3,3.2,2.5,0.9,0.1,1.6,1.4,17,81.08108108,45.08196721,42.46575342
104,Joe Cremo\joe-cremo-1,SO,2016-17,G,Albany (NY),AEC,35.5,5.6,12.3,4.3,8.5,1.3,3.8,3.9,4.5,0.8,4.3,5.1,3.7,1.2,0.1,2.8,1.8,16.4,86.66666667,45.52845528,34.21052632
105,Jermaine Crumpton\jermaine-crumpton-1,JR,2016-17,F,Canisius,MAAC,28.4,6,11.7,4.2,7.7,1.8,4,3.1,4.4,2.2,2.9,5,1.2,1,0.3,2,2.5,17,70.45454545,51.28205128,45
106,Albert Owens\albert-owens-1,JR,2016-17,C,Oral Roberts,Summit,30.8,6.7,13.8,6.6,13.4,0.1,0.4,3.4,4.7,2.4,3.2,5.6,1,0.5,1,2,2.1,17,72.34042553,48.55072464,25
107,Ria'n Holland\rian-holland-1,JR,2016-17,G,Mercer,Southern,31.3,5.9,13.3,3.3,6.5,2.6,6.8,3.2,3.8,0.7,2.5,3.2,2.1,1.1,0.1,1.5,2.4,17.6,84.21052632,44.36090226,38.23529412
108,Divine Myles\divine-myles-1,JR,2016-17,G,Stetson,A-Sun,33.9,6.4,12.2,5.4,9.6,1,2.6,3.2,4.5,0.9,4,4.8,4,0.9,0.1,2.1,1.9,16.9,71.11111111,52.45901639,38.46153846
109,Jordan Washington\jordan-washington-1,SR,2016-17,F,Iona,MAAC,20.7,6.3,11.1,6.3,11.1,0,0,4.2,6.1,1.9,5.2,7.1,0.7,0.7,0.4,2.4,3.6,16.9,68.85245902,56.75675676,0
110,Bonzie Colson\bonzie-colson-1,JR,2016-17,F,Notre Dame,ACC,31.5,6.2,12,5.7,10.5,0.5,1.5,3.9,4.8,3,7.7,10.7,1.7,1.1,1.5,1.4,2.3,16.9,81.25,51.66666667,33.33333333
